FA,Full_study,year,country,Sample,ppYTBY,ppNTBY,ppYTBN,ppNTBN,or,selog,orlo,orhi,ppIRRm,selogIRR,ppIRRlo,ppIRRhi,pp_def,HIV,IRR,m,mlo,mhi
Crampin,Yes,2004,Malawi,610,11,172,33,394,0.763565891,0.359950199,0.377094958,1.546116857,,,,,6mon,yes,no,0.7,0.2,1.9
Espinal,Yes,1996,Santo Domingo,548,51,411,9,77,1.061638281,0.382281385,0.501847871,2.245851591,,,,,6mon,no,no,1.061638281,0.501847871,2.245851591
Espinal,Yes,1996,Santo Domingo,114,1,27,14,72,0.19047619,1.059412336,0.023880901,1.519255028,,,,,6mon,Yes,no,0.19047619,0.023880901,1.519255028
Keskin,Yes,2008,Turkey,0,,,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,no,,,,
Odayar,Yes,2018,South Africa,3026,10,56,1503,1457,0.173106169,0.345266304,0.087986478,0.340572169,0.22,,0.1,0.46,6mon,yes,yes,0.22,0.1,0.46
Rendell,Yes,2016,Mongolia,0,,,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,no,yes,,,
Zenner,Yes,2012,UK,1574069,22,133,114844,1459070,2.101545791,0.230179789,1.338461444,3.299680189,1.95,,1.24,3.07,6mon,no,yes,1.95,1.24,3.07
Fisher,Yes,1994,,,,,,,,,,,,,,,,no,no,,,
Bothamley,No,2016,Belarus,5500,6,13,5487,1000,,,,,0.336030915,0.408471154,0.150897335,0.748301989,,no,no,0.336030915,0.150897335,0.748301989
Bothamley,No,2016,Belgium,143,5,12,131,1000,,,,,12.07729469,0.455243206,4.948331917,29.47681145,,no,no,12.07729469,4.948331917,29.47681145
Bothamley,No,2016,Italy,1860,2,9,1851,1000,,,,,0.478411673,0.707487253,0.1195574,1.91437527,,no,no,0.478411673,0.1195574,1.91437527
Bothamley,No,2016,Italy,217,0.5,9,208,1000,,,,,1.026430588,1.415845662,0.06399373,16.4634839,,no,no,1.026430588,0.06399373,16.4634839
Bothamley,No,2016,Italy,103,1,9,94,1000,,,,,4.357298475,1.004890005,0.607907735,31.23179538,,no,no,4.357298475,0.607907735,31.23179538
Bothamley,No,2016,Serbia,1353,1,9,1344,1000,,,,,0.328731098,1.000369754,0.046270998,2.335461519,,no,no,0.328731098,0.046270998,2.335461519
Bothamley,No,2016,Slovakia,1197,21,11,1186,1000,,,,,6.493506494,0.220157643,4.217715777,9.997266012,,no,no,6.493506494,4.217715777,9.997266012
Bothamley,No,2016,Spain,1946,5,10,1936,1000,,,,,1.030396703,0.447789234,0.428389255,2.478394014,,no,no,1.030396703,0.428389255,2.478394014
Bothamley,No,2016,Spain,374,2,10,364,1000,,,,,2.150537634,0.709005058,0.535833372,8.631063986,,no,no,2.150537634,0.535833372,8.631063986
Bothamley,No,2016,Spain,2320,7,10,2310,1000,,,,,1.21054907,0.378535972,0.576455881,2.542135659,,no,no,1.21054907,0.576455881,2.542135659
Bothamley,No,2016,Ukraine,500,35,11,489,1000,,,,,27.37047898,0.175276827,19.41260198,38.59055683,,no,no,27.37047898,19.41260198,38.59055683
Bothamley,No,2016,United Kingdom,1774,20,18,1756,1000,,,,,2.533890789,0.224878023,1.630676659,3.937385439,,no,no,2.533890789,1.630676659,3.937385439
Bothamley,No,2016,USA,250,5,13,237,1000,,,,,6.279434851,0.451753951,2.590477547,15.22163436,,no,no,6.279434851,2.590477547,15.22163436